2021-11-22 21:07:56.903 | 1 | DBG | Microsoft.Extensions.Hosting.Internal.Host | Hosting starting
2021-11-22 21:07:57.229 | 1 | DBG | Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption.CngCbcAuthenticatedEncryptorFactory | Opening CNG algorithm 'SHA256' from provider 'null' with HMAC.
2021-11-22 21:07:57.235 | 1 | DBG | Microsoft.AspNetCore.DataProtection.KeyManagement.KeyRingProvider | Using key {b0624dbd-dfe3-45a4-992c-dd395fc01cf0} as the default key.
2021-11-22 21:07:57.238 | 1 | DBG | Microsoft.AspNetCore.DataProtection.Internal.DataProtectionHostedService | Key ring with default key {b0624dbd-dfe3-45a4-992c-dd395fc01cf0} was loaded during application startup.
2021-11-22 21:08:01.217 | 1 | DBG | Microsoft.AspNetCore.Server.Kestrel.Core.KestrelServer | Using development certificate: CN=localhost (Thumbprint: BF08CA4CB17E1B395EFE5D0C8B64F537CAA070A8)
2021-11-22 21:08:01.478 | 1 | INF | Microsoft.Hosting.Lifetime | Now listening on: https://localhost:5001
2021-11-22 21:08:01.481 | 1 | INF | Microsoft.Hosting.Lifetime | Now listening on: http://localhost:5000
2021-11-22 21:08:01.483 | 1 | DBG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly UserInterface
2021-11-22 21:08:01.485 | 1 | DBG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly Microsoft.AspNetCore.Watch.BrowserRefresh
2021-11-22 21:08:01.492 | 1 | DBG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly Microsoft.WebTools.BrowserLink.Net
2021-11-22 21:08:01.495 | 1 | INF | Microsoft.Hosting.Lifetime | Application started. Press Ctrl+C to shut down.
2021-11-22 21:08:01.497 | 1 | INF | Microsoft.Hosting.Lifetime | Hosting environment: MD2V0GMC
2021-11-22 21:08:01.499 | 1 | INF | Microsoft.Hosting.Lifetime | Content root path: C:\Repositorios\UAI\MCGA\TPGrupal\UI\UserInterface
2021-11-22 21:08:01.501 | 1 | DBG | Microsoft.Extensions.Hosting.Internal.Host | Hosting started
2021-11-22 21:08:01.746 | 6 | DBG | Microsoft.AspNetCore.Server.Kestrel | Connection id "0HMDE2L87LHTE" accepted.
2021-11-22 21:08:01.750 | 4 | DBG | Microsoft.AspNetCore.Server.Kestrel | Connection id "0HMDE2L87LHTE" started.
2021-11-22 21:08:01.757 | 13 | DBG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HMDE2L87LHTE" received FIN.
2021-11-22 21:08:01.774 | 5 | DBG | Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware | Failed to authenticate HTTPS connection.
System.IO.IOException:  Received an unexpected EOF or 0 bytes from the transport stream.
   at System.Net.Security.SslStream.ReceiveBlobAsync[TIOAdapter](TIOAdapter adapter)
   at System.Net.Security.SslStream.ForceAuthenticationAsync[TIOAdapter](TIOAdapter adapter, Boolean receiveFirst, Byte[] reAuthenticationData, Boolean isApm)
   at Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware.OnConnectionAsync(ConnectionContext context)
2021-11-22 21:08:01.846 | 5 | DBG | Microsoft.AspNetCore.Server.Kestrel | Connection id "0HMDE2L87LHTE" stopped.
2021-11-22 21:08:01.852 | 7 | DBG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HMDE2L87LHTE" sending FIN because: "The Socket transport's send loop completed gracefully."
2021-11-22 21:08:03.982 | 6 | DBG | Microsoft.AspNetCore.Server.Kestrel | Connection id "0HMDE2L87LHTF" accepted.
2021-11-22 21:08:04.171 | 14 | DBG | Microsoft.AspNetCore.Server.Kestrel | Connection id "0HMDE2L87LHTF" started.
2021-11-22 21:08:04.204 | 6 | DBG | Microsoft.AspNetCore.Server.Kestrel | Connection id "0HMDE2L87LHTG" accepted.
2021-11-22 21:08:04.234 | 11 | DBG | Microsoft.AspNetCore.Server.Kestrel | Connection id "0HMDE2L87LHTG" started.
2021-11-22 21:08:04.298 | 13 | DBG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HMDE2L87LHTG" received FIN.
2021-11-22 21:08:04.352 | 14 | DBG | Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware | Connection "0HMDE2L87LHTF" established using the following protocol: "Tls12"
2021-11-22 21:08:04.358 | 5 | DBG | Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware | Connection "0HMDE2L87LHTG" established using the following protocol: "Tls12"
2021-11-22 21:08:04.402 | 5 | DBG | Microsoft.AspNetCore.Server.Kestrel | Connection id "0HMDE2L87LHTG" is closed. The last processed stream ID was 0.
2021-11-22 21:08:04.406 | 5 | DBG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HMDE2L87LHTG" sending FIN because: "The client closed the connection."
2021-11-22 21:08:04.413 | 14 | VRB | Microsoft.AspNetCore.Server.Kestrel | Connection id "0HMDE2L87LHTF" sending "SETTINGS" frame for stream ID 0 with length 18 and flags "NONE"
2021-11-22 21:08:04.415 | 5 | DBG | Microsoft.AspNetCore.Server.Kestrel | Connection id "0HMDE2L87LHTG" stopped.
2021-11-22 21:08:04.429 | 14 | VRB | Microsoft.AspNetCore.Server.Kestrel | Connection id "0HMDE2L87LHTF" sending "WINDOW_UPDATE" frame for stream ID 0 with length 4 and flags 0x0
2021-11-22 21:08:04.436 | 14 | VRB | Microsoft.AspNetCore.Server.Kestrel | Connection id "0HMDE2L87LHTF" received "SETTINGS" frame for stream ID 0 with length 24 and flags "NONE"
2021-11-22 21:08:04.467 | 14 | VRB | Microsoft.AspNetCore.Server.Kestrel | Connection id "0HMDE2L87LHTF" sending "SETTINGS" frame for stream ID 0 with length 0 and flags "ACK"
2021-11-22 21:08:04.483 | 14 | VRB | Microsoft.AspNetCore.Server.Kestrel | Connection id "0HMDE2L87LHTF" received "WINDOW_UPDATE" frame for stream ID 0 with length 4 and flags 0x0
2021-11-22 21:08:04.493 | 14 | VRB | Microsoft.AspNetCore.Server.Kestrel | Connection id "0HMDE2L87LHTF" received "HEADERS" frame for stream ID 1 with length 527 and flags "END_STREAM, END_HEADERS, PRIORITY"
2021-11-22 21:08:04.550 | 14 | VRB | Microsoft.AspNetCore.Server.Kestrel | Connection id "0HMDE2L87LHTF" received "SETTINGS" frame for stream ID 0 with length 0 and flags "ACK"
2021-11-22 21:08:04.578 | 5 | INF | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:5001/ - -
2021-11-22 21:08:05.067 | 5 | DBG | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | Wildcard detected, all requests with hosts will be allowed.
2021-11-22 21:08:05.114 | 5 | VRB | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2021-11-22 21:08:05.119 | 5 | DBG | Microsoft.AspNetCore.HttpsPolicy.HstsMiddleware | The host 'localhost' is excluded. Skipping HSTS header.
2021-11-22 21:08:05.128 | 5 | DBG | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | The request path / does not match a supported file type
2021-11-22 21:08:05.213 | 5 | DBG | Microsoft.AspNetCore.Routing.Matching.DfaMatcher | 1 candidate(s) found for the request path '/'
2021-11-22 21:08:05.233 | 5 | DBG | Microsoft.AspNetCore.Routing.Matching.DfaMatcher | Endpoint 'UserInterface.Controllers.HomeController.Index (UserInterface)' with route pattern '{controller=Home}/{action=Index}/{id?}' is valid for the request path '/'
2021-11-22 21:08:05.245 | 5 | DBG | Microsoft.AspNetCore.Routing.EndpointRoutingMiddleware | Request matched endpoint 'UserInterface.Controllers.HomeController.Index (UserInterface)'
2021-11-22 21:08:05.253 | 5 | INF | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executing endpoint 'UserInterface.Controllers.HomeController.Index (UserInterface)'
2021-11-22 21:08:05.294 | 5 | DBG | Microsoft.AspNetCore.Mvc.ModelBinding.ModelBinderFactory | Registered model binder providers, in the following order: ["Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BinderTypeModelBinderProvider","Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ServicesModelBinderProvider","Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BodyModelBinderProvider","Microsoft.AspNetCore.Mvc.ModelBinding.Binders.HeaderModelBinderProvider","Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FloatingPointTypeModelBinderProvider","Microsoft.AspNetCore.Mvc.ModelBinding.Binders.EnumTypeModelBinderProvider","Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DateTimeModelBinderProvider","Microsoft.AspNetCore.Mvc.ModelBinding.Binders.SimpleTypeModelBinderProvider","Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CancellationTokenModelBinderProvider","Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ByteArrayModelBinderProvider","Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormFileModelBinderProvider","Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormCollectionModelBinderProvider","Microsoft.AspNetCore.Mvc.ModelBinding.Binders.KeyValuePairModelBinderProvider","Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DictionaryModelBinderProvider","Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ArrayModelBinderProvider","Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CollectionModelBinderProvider","Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ComplexObjectModelBinderProvider"]
2021-11-22 21:08:05.493 | 5 | INF | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Route matched with {action = "Index", controller = "Home"}. Executing controller action with signature Microsoft.AspNetCore.Mvc.IActionResult Index() on controller UserInterface.Controllers.HomeController (UserInterface).
2021-11-22 21:08:05.503 | 5 | DBG | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Execution plan of authorization filters (in the following order): ["None"]
2021-11-22 21:08:05.511 | 5 | DBG | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Execution plan of resource filters (in the following order): ["Microsoft.AspNetCore.Mvc.ViewFeatures.Filters.SaveTempDataFilter"]
2021-11-22 21:08:05.518 | 5 | DBG | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Execution plan of action filters (in the following order): ["Microsoft.AspNetCore.Mvc.Filters.ControllerActionFilter (Order: -2147483648)","Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter (Order: -3000)"]
2021-11-22 21:08:05.526 | 5 | DBG | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Execution plan of exception filters (in the following order): ["None"]
2021-11-22 21:08:05.530 | 5 | DBG | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Execution plan of result filters (in the following order): ["Microsoft.AspNetCore.Mvc.ViewFeatures.Filters.SaveTempDataFilter"]
2021-11-22 21:08:05.541 | 5 | VRB | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Resource Filter: Before executing OnResourceExecuting on filter Microsoft.AspNetCore.Mvc.ViewFeatures.Filters.SaveTempDataFilter.
2021-11-22 21:08:05.546 | 5 | VRB | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Resource Filter: After executing OnResourceExecuting on filter Microsoft.AspNetCore.Mvc.ViewFeatures.Filters.SaveTempDataFilter.
2021-11-22 21:08:05.562 | 5 | DBG | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executing controller factory for controller UserInterface.Controllers.HomeController (UserInterface)
2021-11-22 21:08:05.571 | 5 | DBG | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executed controller factory for controller UserInterface.Controllers.HomeController (UserInterface)
2021-11-22 21:08:05.578 | 5 | VRB | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecutionAsync on filter Microsoft.AspNetCore.Mvc.Filters.ControllerActionFilter.
2021-11-22 21:08:05.583 | 5 | VRB | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter.
2021-11-22 21:08:05.595 | 5 | VRB | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter.
2021-11-22 21:08:05.611 | 5 | INF | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executing action method UserInterface.Controllers.HomeController.Index (UserInterface) - Validation state: "Valid"
2021-11-22 21:08:05.630 | 5 | INF | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executed action method UserInterface.Controllers.HomeController.Index (UserInterface), returned result Microsoft.AspNetCore.Mvc.ViewResult in 2.8769ms.
2021-11-22 21:08:05.638 | 5 | VRB | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter.
2021-11-22 21:08:05.648 | 5 | VRB | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter.
2021-11-22 21:08:05.652 | 5 | VRB | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecutionAsync on filter Microsoft.AspNetCore.Mvc.Filters.ControllerActionFilter.
2021-11-22 21:08:05.657 | 5 | VRB | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: Before executing OnResultExecuting on filter Microsoft.AspNetCore.Mvc.ViewFeatures.Filters.SaveTempDataFilter.
2021-11-22 21:08:05.662 | 5 | VRB | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: After executing OnResultExecuting on filter Microsoft.AspNetCore.Mvc.ViewFeatures.Filters.SaveTempDataFilter.
2021-11-22 21:08:05.668 | 5 | VRB | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Before executing action result Microsoft.AspNetCore.Mvc.ViewResult.
2021-11-22 21:08:05.681 | 5 | DBG | Microsoft.AspNetCore.Mvc.Razor.Compilation.DefaultViewCompiler | Initializing Razor view compiler with compiled view: '/Views/Configuration/Index.cshtml'.
2021-11-22 21:08:05.684 | 5 | DBG | Microsoft.AspNetCore.Mvc.Razor.Compilation.DefaultViewCompiler | Initializing Razor view compiler with compiled view: '/Views/Home/Index.cshtml'.
2021-11-22 21:08:05.687 | 5 | DBG | Microsoft.AspNetCore.Mvc.Razor.Compilation.DefaultViewCompiler | Initializing Razor view compiler with compiled view: '/Views/Home/Privacy.cshtml'.
2021-11-22 21:08:05.692 | 5 | DBG | Microsoft.AspNetCore.Mvc.Razor.Compilation.DefaultViewCompiler | Initializing Razor view compiler with compiled view: '/Views/Report/Index.cshtml'.
2021-11-22 21:08:05.696 | 5 | DBG | Microsoft.AspNetCore.Mvc.Razor.Compilation.DefaultViewCompiler | Initializing Razor view compiler with compiled view: '/Views/Shared/Error.cshtml'.
2021-11-22 21:08:05.700 | 5 | DBG | Microsoft.AspNetCore.Mvc.Razor.Compilation.DefaultViewCompiler | Initializing Razor view compiler with compiled view: '/Views/Shared/_Layout.cshtml'.
2021-11-22 21:08:05.703 | 5 | DBG | Microsoft.AspNetCore.Mvc.Razor.Compilation.DefaultViewCompiler | Initializing Razor view compiler with compiled view: '/Views/Shared/_ValidationScriptsPartial.cshtml'.
2021-11-22 21:08:05.711 | 5 | DBG | Microsoft.AspNetCore.Mvc.Razor.Compilation.DefaultViewCompiler | Initializing Razor view compiler with compiled view: '/Views/Status/Index.cshtml'.
2021-11-22 21:08:05.713 | 5 | DBG | Microsoft.AspNetCore.Mvc.Razor.Compilation.DefaultViewCompiler | Initializing Razor view compiler with compiled view: '/Views/Visualization/Index.cshtml'.
2021-11-22 21:08:05.716 | 5 | DBG | Microsoft.AspNetCore.Mvc.Razor.Compilation.DefaultViewCompiler | Initializing Razor view compiler with compiled view: '/Views/_ViewImports.cshtml'.
2021-11-22 21:08:05.718 | 5 | DBG | Microsoft.AspNetCore.Mvc.Razor.Compilation.DefaultViewCompiler | Initializing Razor view compiler with compiled view: '/Views/_ViewStart.cshtml'.
2021-11-22 21:08:05.751 | 5 | DBG | Microsoft.AspNetCore.Mvc.Razor.RazorViewEngine | View lookup cache miss for view 'Index' in controller 'Home'.
2021-11-22 21:08:05.758 | 5 | VRB | Microsoft.AspNetCore.Mvc.Razor.Compilation.DefaultViewCompiler | Located compiled view for view at path '/Views/Home/Index.cshtml'.
2021-11-22 21:08:05.766 | 5 | VRB | Microsoft.AspNetCore.Mvc.Razor.Compilation.DefaultViewCompiler | Could not find a file for view at path '/Views/Home/_ViewStart.cshtml'.
2021-11-22 21:08:05.769 | 5 | VRB | Microsoft.AspNetCore.Mvc.Razor.Compilation.DefaultViewCompiler | Located compiled view for view at path '/Views/_ViewStart.cshtml'.
2021-11-22 21:08:05.774 | 5 | VRB | Microsoft.AspNetCore.Mvc.Razor.Compilation.DefaultViewCompiler | Could not find a file for view at path '/_ViewStart.cshtml'.
2021-11-22 21:08:05.792 | 5 | INF | Microsoft.AspNetCore.Mvc.ViewFeatures.ViewResultExecutor | Executing ViewResult, running view Index.
2021-11-22 21:08:05.807 | 5 | DBG | Microsoft.AspNetCore.Mvc.ViewFeatures.ViewResultExecutor | The view path '/Views/Home/Index.cshtml' was found in 46.7769ms.
2021-11-22 21:08:05.892 | 5 | DBG | Microsoft.AspNetCore.Mvc.Razor.RazorViewEngine | View lookup cache miss for view '_Layout' in controller 'Home'.
2021-11-22 21:08:05.896 | 5 | VRB | Microsoft.AspNetCore.Mvc.Razor.Compilation.DefaultViewCompiler | Could not find a file for view at path '/Views/Home/_Layout.cshtml'.
2021-11-22 21:08:05.898 | 5 | VRB | Microsoft.AspNetCore.Mvc.Razor.Compilation.DefaultViewCompiler | Located compiled view for view at path '/Views/Shared/_Layout.cshtml'.
2021-11-22 21:08:06.127 | 15 | INF | Microsoft.AspNetCore.Mvc.ViewFeatures.ViewResultExecutor | Executed ViewResult - view Index executed in 379.4462ms.
2021-11-22 21:08:06.135 | 15 | VRB | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | After executing action result Microsoft.AspNetCore.Mvc.ViewResult.
2021-11-22 21:08:06.149 | 15 | VRB | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: Before executing OnResultExecuted on filter Microsoft.AspNetCore.Mvc.ViewFeatures.Filters.SaveTempDataFilter.
2021-11-22 21:08:06.153 | 15 | VRB | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: After executing OnResultExecuted on filter Microsoft.AspNetCore.Mvc.ViewFeatures.Filters.SaveTempDataFilter.
2021-11-22 21:08:06.162 | 15 | VRB | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Resource Filter: Before executing OnResourceExecuted on filter Microsoft.AspNetCore.Mvc.ViewFeatures.Filters.SaveTempDataFilter.
2021-11-22 21:08:06.166 | 15 | VRB | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Resource Filter: After executing OnResourceExecuted on filter Microsoft.AspNetCore.Mvc.ViewFeatures.Filters.SaveTempDataFilter.
2021-11-22 21:08:06.170 | 15 | INF | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executed action UserInterface.Controllers.HomeController.Index (UserInterface) in 632.1772ms
2021-11-22 21:08:06.176 | 15 | INF | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executed endpoint 'UserInterface.Controllers.HomeController.Index (UserInterface)'
2021-11-22 21:08:06.193 | 8 | DBG | Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserRefreshMiddleware | Response markup is scheduled to include browser refresh script injection.
2021-11-22 21:08:06.208 | 8 | VRB | Microsoft.AspNetCore.Server.Kestrel | Connection id "0HMDE2L87LHTF" sending "HEADERS" frame for stream ID 1 with length 67 and flags "END_HEADERS"
2021-11-22 21:08:06.215 | 8 | VRB | Microsoft.AspNetCore.Server.Kestrel | Connection id "0HMDE2L87LHTF" sending "DATA" frame for stream ID 1 with length 1024 and flags "NONE"
2021-11-22 21:08:06.222 | 8 | VRB | Microsoft.AspNetCore.Server.Kestrel | Connection id "0HMDE2L87LHTF" sending "DATA" frame for stream ID 1 with length 1028 and flags "NONE"
2021-11-22 21:08:06.226 | 8 | VRB | Microsoft.AspNetCore.Server.Kestrel | Connection id "0HMDE2L87LHTF" sending "DATA" frame for stream ID 1 with length 1027 and flags "NONE"
2021-11-22 21:08:06.232 | 8 | VRB | Microsoft.AspNetCore.Server.Kestrel | Connection id "0HMDE2L87LHTF" sending "DATA" frame for stream ID 1 with length 1030 and flags "NONE"
2021-11-22 21:08:06.239 | 8 | VRB | Microsoft.AspNetCore.Server.Kestrel | Connection id "0HMDE2L87LHTF" sending "DATA" frame for stream ID 1 with length 581 and flags "NONE"
2021-11-22 21:08:06.245 | 8 | VRB | Microsoft.AspNetCore.Server.Kestrel | Connection id "0HMDE2L87LHTF" sending "DATA" frame for stream ID 1 with length 65 and flags "NONE"
2021-11-22 21:08:06.248 | 8 | VRB | Microsoft.AspNetCore.Server.Kestrel | Connection id "0HMDE2L87LHTF" sending "DATA" frame for stream ID 1 with length 18 and flags "NONE"
2021-11-22 21:08:06.269 | 8 | DBG | Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserRefreshMiddleware | Response markup was updated to include browser refresh script injection.
2021-11-22 21:08:06.275 | 8 | VRB | Microsoft.AspNetCore.Server.Kestrel | Connection id "0HMDE2L87LHTF" sending "DATA" frame for stream ID 1 with length 0 and flags "END_STREAM"
2021-11-22 21:08:06.278 | 4 | VRB | Microsoft.AspNetCore.Server.Kestrel | Connection id "0HMDE2L87LHTF" received "HEADERS" frame for stream ID 3 with length 108 and flags "END_STREAM, END_HEADERS, PRIORITY"
2021-11-22 21:08:06.285 | 4 | VRB | Microsoft.AspNetCore.Server.Kestrel | Connection id "0HMDE2L87LHTF" received "HEADERS" frame for stream ID 5 with length 60 and flags "END_STREAM, END_HEADERS, PRIORITY"
2021-11-22 21:08:06.286 | 13 | INF | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:5001/lib/bootstrap/dist/css/bootstrap.min.css - -
2021-11-22 21:08:06.287 | 8 | INF | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:5001/ - - - 200 - text/html;+charset=utf-8 1715.5221ms
2021-11-22 21:08:06.289 | 4 | VRB | Microsoft.AspNetCore.Server.Kestrel | Connection id "0HMDE2L87LHTF" received "HEADERS" frame for stream ID 7 with length 34 and flags "END_STREAM, END_HEADERS, PRIORITY"
2021-11-22 21:08:06.297 | 13 | VRB | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2021-11-22 21:08:06.297 | 16 | INF | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:5001/lib/jquery-datatables/jquery.dataTables.min.css - -
2021-11-22 21:08:06.320 | 4 | VRB | Microsoft.AspNetCore.Server.Kestrel | Connection id "0HMDE2L87LHTF" received "HEADERS" frame for stream ID 9 with length 46 and flags "END_STREAM, END_HEADERS, PRIORITY"
2021-11-22 21:08:06.320 | 7 | INF | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:5001/css/site.css - -
2021-11-22 21:08:06.321 | 13 | DBG | Microsoft.AspNetCore.HttpsPolicy.HstsMiddleware | The host 'localhost' is excluded. Skipping HSTS header.
2021-11-22 21:08:06.332 | 4 | VRB | Microsoft.AspNetCore.Server.Kestrel | Connection id "0HMDE2L87LHTF" received "HEADERS" frame for stream ID 11 with length 58 and flags "END_STREAM, END_HEADERS, PRIORITY"
